date,AAR,BT,Bus,CBD Entries,CRZ Entries,LIRR,MNR,SIR,Subway
2020-12-24,15928,762357,822916,,,75759,38899,2176,1312480
2020-12-25,8611,477472,314171,,,51348,14435,631,485208
2020-12-26,9094,595107,559111,,,36047,22076,1014,879170
2020-12-27,9457,596095,474033,,,34432,20470,901,760350
2020-12-28,18820,745278,922336,,,81566,41012,3027,1510168
2020-12-29,19717,761890,930711,,,78904,39416,3097,1555198
2020-12-30,20922,801993,948194,,,79298,40962,2990,1582486
2020-12-31,17167,706032,792993,,,75157,39947,2162,1274984
2021-01-01,5960,446899,378288,,,28977,14988,805,613692
2021-01-02,10450,626033,608686,,,28879,23139,1194,988418
2021-01-03,9745,497567,413820,,,20819,15546,728,653187
2021-01-04,20612,689950,964597,,,71078,35679,3260,1557977
2021-01-05,21641,710475,990479,,,70424,35805,3392,1597518
2021-01-06,22795,744816,996123,,,70289,35857,3260,1613629
2021-01-07,21571,738699,989097,,,69695,36344,3149,1611099
2021-01-08,21641,756595,982175,,,68649,39102,3017,1619242
2021-01-09,12023,632270,643475,,,26962,22332,806,990412
2021-01-10,9467,565726,501437,,,23751,18076,593,763097
2021-01-11,21089,709963,966517,,,72285,36015,3123,1568207
2021-01-12,21623,732786,997279,,,71403,36563,3297,1640428
2021-01-13,22720,740020,996646,,,70591,36488,3160,1641652
2021-01-14,21950,755924,1017757,,,70937,37403,3234,1647396
2021-01-15,21819,790866,981817,,,70180,41025,2978,1627120
2021-01-16,11654,632549,645625,,,27116,22548,1099,991500
2021-01-17,9880,582016,504031,,,24223,20269,910,797654
2021-01-18,14124,691017,766926,,,68674,22337,2141,1276978
2021-01-19,21049,738221,1013616,,,72565,36885,3328,1635915
2021-01-20,19281,714588,921371,,,67925,35263,2963,1575075
2021-01-21,19925,762233,1007042,,,71225,37003,3258,1652842
2021-01-22,20375,789504,1018584,,,71317,40981,3174,1672001
2021-01-23,10536,641840,619673,,,27942,22216,1114,997551
2021-01-24,8317,561859,458203,,,23974,17881,821,741139
2021-01-25,19991,729490,978987,,,73131,36509,3226,1592468
2021-01-26,18115,655013,911579,,,68237,34574,2965,1550953
2021-01-27,19841,742279,1004792,,,70353,35635,3098,1660278
2021-01-28,20139,770803,950205,,,70023,37015,3208,1646806
2021-01-29,19047,782378,812264,,,65128,37760,2646,1511680
2021-01-30,10284,654176,566837,,,26642,21229,811,942615
2021-01-31,8616,574927,427945,,,23091,17531,620,722853
2021-02-01,12202,157422,337228,,,8611,12093,954,583230
2021-02-02,8155,312589,543073,,,22756,22258,1517,1005985
2021-02-03,16869,658681,949695,,,69068,36347,3057,1702598
2021-02-04,20328,744332,1033791,,,71341,37590,3381,1785833
2021-02-05,20136,768269,1001775,,,68866,40322,3115,1741015
2021-02-06,12020,691034,715717,,,29248,25168,1280,1148477
2021-02-07,7115,340934,367095,,,17110,14068,736,652521
2021-02-08,17786,703137,964007,,,70984,36921,3075,1639753
2021-02-09,19386,684228,992290,,,69548,34582,3123,1666467
2021-02-10,22169,771226,1052021,,,71257,36580,3284,1750121
2021-02-11,20144,757548,1005348,,,70196,37230,3148,1714656
2021-02-12,20165,806177,965421,,,72130,42228,2823,1706430
2021-02-13,11669,668385,656637,,,29284,25456,1198,1092063
2021-02-14,7835,552596,479319,,,23392,20489,863,858014
2021-02-15,11437,643715,726412,,,65652,21792,1764,1218593
2021-02-16,19126,728390,963223,,,72718,36234,3211,1627528
2021-02-17,22336,826880,1061711,,,74219,39205,3349,1733160
2021-02-18,15843,457873,725951,,,57987,31747,2521,1381886
2021-02-19,14172,609824,809308,,,64121,38307,2707,1566021
2021-02-20,10578,658685,679240,,,30920,25729,1381,1110589
2021-02-21,9195,606743,516715,,,25208,19844,956,836095
2021-02-22,19015,693705,927414,,,69741,35468,3079,1582054
2021-02-23,20852,762056,1040398,,,73492,37505,3406,1730198
2021-02-24,23223,799814,1099351,,,74777,39124,3546,1806306
2021-02-25,22138,816902,1069420,,,75030,39397,3543,1798165
2021-02-26,21911,853307,1065376,,,76696,44410,3359,1822812
2021-02-27,11319,683410,635820,,,28849,24256,1324,1072932
2021-02-28,8910,621280,491545,,,23778,20086,972,810071
2021-03-01,20359,749977,1020837,,,74430,36339,3333,1696274
2021-03-02,20640,765693,1024511,,,75335,36611,3472,1749511
2021-03-03,22823,800979,1119137,,,78770,39651,3569,1846431
2021-03-04,21727,809641,1078036,,,78642,39730,3456,1808744
2021-03-05,21842,848562,1041408,,,79104,45027,3270,1825915
2021-03-06,11951,729902,696719,,,37158,27276,3,1167884
2021-03-07,9843,663948,525930,,,29306,21547,58,894119
2021-03-08,20685,770032,1039763,,,79355,39763,3344,1719586
2021-03-09,22200,793851,1101988,,,79269,40944,3602,1834068
2021-03-10,22774,807054,1104610,,,78069,41488,3625,1849077
2021-03-11,22617,839112,1107502,,,80398,42543,3682,1881902
2021-03-12,21724,875441,1092388,,,82399,48553,3507,1914465
2021-03-13,11932,778578,730218,,,38465,31500,,1257372
2021-03-14,9732,674893,531754,,,30405,22347,,923968
2021-03-15,19986,777009,1023990,,,79331,39529,3264,1730024
2021-03-16,20903,790665,1062179,,,77672,40038,3394,1798288
2021-03-17,22323,811451,1103979,,,81431,41682,3465,1866414
2021-03-18,20264,802401,1019472,,,76532,39884,3283,1771092
2021-03-19,20357,866162,1083647,,,80041,46605,3331,1906749
2021-03-20,12558,789944,768908,,,41743,33068,,1307403
2021-03-21,10358,737403,579358,,,34693,26380,,1013386
2021-03-22,20427,790925,1095241,,,84171,43281,3646,1801438
2021-03-23,21590,812727,1133504,,,83106,41654,3727,1879574
2021-03-24,21651,796805,1075968,,,79590,40301,3578,1828084
2021-03-25,21763,850151,1127964,,,83556,44105,3747,1925768
2021-03-26,20805,868437,1091753,,,84436,49529,3536,1938246
2021-03-27,12900,843498,781981,,,47484,38301,,1374266
2021-03-28,9104,603133,459949,,,28347,21000,,807247
2021-03-29,18543,765733,1002597,,,86467,44240,3378,1742162
2021-03-30,21019,844533,1079381,,,91258,46574,3806,1881537
2021-03-31,20374,835543,995873,,,84850,43954,3526,1808546
2021-04-01,20490,858814,1030209,,,77285,38466,3434,1841815
2021-04-02,18839,847596,958085,,,79770,49308,3070,1757698
2021-04-03,12735,781573,750682,,,47662,37706,1503,1318461
2021-04-04,11632,751492,519812,,,40868,30673,1066,950194
2021-04-05,19970,834568,1088750,,,87048,46156,3431,1818703
2021-04-06,21695,842891,1155101,,,85757,45178,3873,1942198
2021-04-07,23469,861139,1172362,,,85479,45747,3809,1985370
2021-04-08,22579,880644,1177833,,,86715,47059,3893,2013413
2021-04-09,21978,897983,1144311,,,87051,52445,3686,2026724
2021-04-10,12713,824102,790023,,,45962,36629,1500,1391245
2021-04-11,9742,668094,504407,,,32034,22933,1020,899646
2021-04-12,21192,795751,1087799,,,83124,43563,3418,1845836
2021-04-13,22728,834987,1196355,,,87182,46150,3877,2012153
2021-04-14,23462,855217,1199954,,,86698,47970,3810,2018126
2021-04-15,21198,824792,1083083,,,81762,44175,3593,1906733
2021-04-16,21632,892319,1157507,,,87190,54355,3591,2078856
2021-04-17,13313,814841,803352,,,49901,39789,,1425036
