zone,year,fhv,fhvhv,green,yellow,medallion_trips,total_trips,aggregator_share,log_medallion_trips,log_aggregator_trips,borough
24,2019,35842.0,395588.0,21465.0,248456.0,269921.0,701351.0,0.564037122639021,12.505884602574355,12.888128544600244,Manhattan
24,2020,1292.0,236327.0,5919.0,90016.0,95935.0,333554.0,0.7085119650791176,11.4714261577922,12.372971718179599,Manhattan
24,2021,1202.0,269137.0,5017.0,115085.0,120102.0,390441.0,0.6893154151331443,11.69609666071876,12.502975822618264,Manhattan
24,2022,2460.0,308733.0,6487.0,124764.0,131251.0,442444.0,0.6977900028026146,11.784866799472464,12.640232104679681,Manhattan
24,2023,3181.0,334843.0,5384.0,94000.0,99384.0,437408.0,0.7655164057356061,11.506746413893513,12.721417044236903,Manhattan
24,2024,2641.0,339232.0,4697.0,101903.0,106600.0,448473.0,0.7564156593596493,11.57683879071388,12.734439518072824,Manhattan
24,2025,3862.0,322136.0,3681.0,117105.0,120786.0,446784.0,0.7210106002005443,11.701775663726883,12.68272909560601,Manhattan
25,2019,126154.0,1307091.0,115225.0,70088.0,185313.0,1618558.0,0.8075651289604697,12.129801566315567,14.083314615278283,Brooklyn
25,2020,6436.0,742360.0,26635.0,18357.0,44992.0,793788.0,0.935211920563173,10.714239975170337,13.51758957969224,Brooklyn
25,2021,6111.0,929900.0,10884.0,16022.0,26906.0,962917.0,0.9657114787671212,10.200104589045488,13.742832332466289,Brooklyn
25,2022,16594.0,1183761.0,7445.0,17734.0,25179.0,1225534.0,0.9659144503538866,10.133765592750937,13.98420721594189,Brooklyn
25,2023,15318.0,1321350.0,5056.0,14183.0,19239.0,1355907.0,0.9745137387741195,9.864694747816973,14.094164499206052,Brooklyn
25,2024,14427.0,1403220.0,3096.0,21857.0,24953.0,1442600.0,0.9727020657146819,10.12474933443232,14.15428015363417,Brooklyn
25,2025,20384.0,1424961.0,2875.0,46441.0,49316.0,1494661.0,0.9533673521955814,10.806003850988443,14.169655002889312,Brooklyn
26,2019,102805.0,1060956.0,14318.0,6300.0,20618.0,1184379.0,0.8957909588062605,9.93391975965633,13.874680946425176,Brooklyn
26,2020,10731.0,784330.0,4239.0,3744.0,7983.0,803044.0,0.9766961710690821,8.9850695596458,13.572585129138606,Brooklyn
26,2021,10518.0,871540.0,2971.0,3366.0,6337.0,888395.0,0.981027583451055,8.754160749323518,13.67801704076616,Brooklyn
26,2022,18832.0,1013287.0,159.0,938.0,1097.0,1033216.0,0.9807116808102081,7.00033446027523,13.828710059984724,Brooklyn
26,2023,13059.0,1164742.0,135.0,1093.0,1228.0,1179029.0,0.9878824015355008,7.113142108707088,13.968010161228754,Brooklyn
26,2024,15231.0,1176215.0,39.0,4044.0,4083.0,1195529.0,0.9838448084488122,8.314587291319576,13.977812213859849,Brooklyn
26,2025,24159.0,1226160.0,158.0,11003.0,11161.0,1261480.0,0.9720011415163141,9.320180837655714,14.019397892672789,Brooklyn
27,2019,645.0,18412.0,127.0,112.0,239.0,19296.0,0.9541873963515755,5.476463551931511,9.820757904937132,Queens
27,2020,192.0,15934.0,77.0,110.0,187.0,16313.0,0.976766995647643,5.231108616854587,9.676210469940312,Queens
27,2021,374.0,14528.0,38.0,76.0,114.0,15016.0,0.9675013319126265,4.736198448394496,9.583833100841074,Queens
27,2022,460.0,16207.0,11.0,13.0,24.0,16691.0,0.9710023365885807,3.1780538303479458,9.69319852665812,Queens
27,2023,273.0,15783.0,3.0,16.0,19.0,16075.0,0.9818351477449455,2.9444389791664403,9.666688690398917,Queens
27,2024,313.0,18529.0,3.0,164.0,167.0,19009.0,0.9747488031984849,5.117993812416755,9.827092351282415,Queens
27,2025,294.0,18729.0,2.0,297.0,299.0,19322.0,0.9693095952799917,5.700443573390687,9.837828403729853,Queens
28,2019,38054.0,434350.0,8530.0,12144.0,20674.0,493078.0,0.8808951119295527,9.93663215112843,12.981605939688066,Queens
28,2020,4589.0,314593.0,2394.0,4106.0,6500.0,325682.0,0.9659514495735103,8.779557455883728,12.659035018881973,Queens
28,2021,4800.0,412771.0,1895.0,2500.0,4395.0,421966.0,0.9782091448126152,8.388222810119277,12.930648238743723,Queens
28,2022,6360.0,493478.0,742.0,2512.0,3254.0,503092.0,0.9808901751568302,8.087640287778983,13.109233557328036,Queens
28,2023,7381.0,548327.0,506.0,3184.0,3690.0,559398.0,0.9802090819059059,8.213381737034572,13.21462710329482,Queens
28,2024,9517.0,581141.0,250.0,5243.0,5493.0,596151.0,0.9748218152783439,8.61122983334262,13.272748691416618,Queens
28,2025,11485.0,620152.0,280.0,12399.0,12679.0,644316.0,0.9624966631280304,9.447702360527948,13.337719888264479,Queens
