zone,year,fhv,fhvhv,green,yellow,total,non_green_total,aggregator_share,log_fhvhv,log_green,log_yellow,post_covid,borough,outer_borough,green_turf
148,2022,15496.0,2382983.0,10.0,388928.0,2787417.0,2787407.0,0.8549103162903731,14.683863622190557,2.302585092994046,12.871149515495027,1,Manhattan,0,1
148,2023,23847.0,2546998.0,0.0,387243.0,2958088.0,2958088.0,0.8610284751501646,14.750425968723752,0.0,12.86680768193756,1,Manhattan,0,1
148,2024,14947.0,2490837.0,76.0,433114.0,2938974.0,2938898.0,0.8475411531805459,14.728129356535272,4.330733340286331,12.978756251778403,1,Manhattan,0,1
148,2025,13809.0,2411499.0,32.0,536712.0,2962052.0,2962020.0,0.8141400125589969,14.695759103811417,3.4657359027997265,13.193216916774663,1,Manhattan,0,1
149,2019,51705.0,514173.0,7629.0,3229.0,576736.0,569107.0,0.9034733362970409,13.150315063683834,8.93971205409023,8.079927770758275,0,Brooklyn,1,1
149,2020,21621.0,327875.0,1834.0,1632.0,352962.0,351128.0,0.9337762867102595,12.700387717169175,7.51425465281641,7.397561535524052,0,Brooklyn,1,1
149,2021,9958.0,402325.0,1234.0,2293.0,415810.0,414576.0,0.9704493265408514,12.905015498686696,7.1180162044653335,7.737616282857904,1,Brooklyn,1,1
149,2022,11872.0,459360.0,94.0,371.0,471697.0,471603.0,0.974039605346022,13.03758949535489,4.543294782270004,5.916202062607435,1,Brooklyn,1,1
149,2023,11513.0,509962.0,74.0,726.0,522275.0,522201.0,0.976562664567858,13.142091492120594,4.30406509320417,6.587550014824796,1,Brooklyn,1,1
149,2024,15886.0,552229.0,36.0,2346.0,570497.0,570461.0,0.9680398835327919,13.221718094303123,3.58351893845611,7.76046702921342,1,Brooklyn,1,1
149,2025,32087.0,597500.0,94.0,5450.0,635131.0,635037.0,0.9408900583745514,13.300509562787802,4.543294782270004,8.60337088765729,1,Brooklyn,1,1
150,2019,28531.0,287068.0,5176.0,1446.0,322221.0,317045.0,0.905448753331546,12.567474400475287,8.551787836180736,7.27655640271871,0,Brooklyn,1,1
150,2020,8293.0,164493.0,1331.0,738.0,174855.0,173524.0,0.947955326064406,12.010623295090662,7.193685818395112,6.6039438246004725,0,Brooklyn,1,1
150,2021,3553.0,185299.0,863.0,865.0,190580.0,189717.0,0.9767126825745716,12.129726015604815,6.760414691083428,6.762729506931879,1,Brooklyn,1,1
150,2022,5928.0,215268.0,355.0,282.0,221833.0,221478.0,0.9719610977162517,12.27963904248709,5.872117789475416,5.641907070938114,1,Brooklyn,1,1
150,2023,4896.0,233873.0,186.0,390.0,239345.0,239159.0,0.9778975493291074,12.362533511963129,5.225746673713202,5.966146739123692,1,Brooklyn,1,1
150,2024,5580.0,248653.0,100.0,1316.0,255649.0,255549.0,0.9730149599489726,12.423813629221922,4.605170185988092,7.182352111885263,1,Brooklyn,1,1
150,2025,13169.0,261412.0,124.0,3330.0,278035.0,277911.0,0.9406320728578573,12.473852985775045,4.820281565605037,8.110727582974489,1,Brooklyn,1,1
151,2019,84694.0,817552.0,637.0,735114.0,1637997.0,1637360.0,0.49931108613866226,13.614069788293298,6.456769655572163,13.507780868208712,0,Manhattan,0,1
151,2020,3769.0,510440.0,830.0,286397.0,801436.0,800606.0,0.637567042964954,13.143028377847912,6.721425700790643,12.56513423915343,0,Manhattan,0,1
151,2021,3813.0,562070.0,970.0,344371.0,911224.0,910254.0,0.617486987148642,13.23938167627962,6.877296071497429,12.749474843576849,1,Manhattan,0,1
151,2022,6940.0,642866.0,20.0,360289.0,1010115.0,1010095.0,0.6364411268247047,13.3736915833681,2.995732273553991,12.794661766156338,1,Manhattan,0,1
151,2023,6920.0,708181.0,24.0,295331.0,1010456.0,1010432.0,0.7008695290727135,13.470454989720551,3.1780538303479458,12.595852040210698,1,Manhattan,0,1
151,2024,6196.0,717645.0,16.0,315069.0,1038926.0,1038910.0,0.6907672464409814,13.483730296790695,2.772588722239781,12.66054694143939,1,Manhattan,0,1
151,2025,9272.0,671522.0,176.0,336311.0,1017281.0,1017105.0,0.6602287866051194,13.417302056880828,5.170483995038151,12.725791606084307,1,Manhattan,0,1
152,2019,57540.0,554249.0,45118.0,81587.0,738494.0,693376.0,0.7993484054827396,13.225369323236967,10.717036558948369,11.30942521453493,0,Manhattan,0,1
152,2020,6276.0,406790.0,12712.0,30196.0,455974.0,443262.0,0.917719091643317,12.91605236075017,9.450301708216552,10.315464744259515,0,Manhattan,0,1
152,2021,7296.0,416639.0,7596.0,31478.0,463009.0,455413.0,0.9148596987789106,12.939975418405796,8.935377071932177,10.357044168111546,1,Manhattan,0,1
152,2022,6733.0,484649.0,7264.0,31999.0,530645.0,523381.0,0.9259965493588801,13.091180196573944,8.890685920281129,10.373459931293572,1,Manhattan,0,1
152,2023,5049.0,529466.0,4618.0,21762.0,560895.0,556277.0,0.9518027888983366,13.179624230441648,8.43771698991444,9.987920608510958,1,Manhattan,0,1
152,2024,3581.0,541149.0,2828.0,29120.0,576678.0,573850.0,0.9430147251023787,13.20144993580511,7.947325027016463,10.279180502310622,1,Manhattan,0,1
152,2025,6972.0,529118.0,2014.0,50057.0,588161.0,586147.0,0.9027052940644582,13.178966748347575,7.607878073278507,10.82091763510371,1,Manhattan,0,1
153,2019,14713.0,217169.0,2876.0,1846.0,236604.0,233728.0,0.9291526903066812,12.288431131257123,7.964155718840937,7.520776415062797,0,Manhattan,0,1
153,2020,1619.0,206680.0,1155.0,880.0,210334.0,209179.0,0.9880532940687162,12.238926982401122,7.051855622955894,6.779921907472252,0,Manhattan,0,1
153,2021,1161.0,192523.0,934.0,813.0,195431.0,194497.0,0.9898507431991239,12.167970906092227,6.839476438228843,6.70073110954781,1,Manhattan,0,1
153,2022,1248.0,192014.0,113.0,324.0,193699.0,193586.0,0.991879578068662,12.165323565018294,4.727387818712341,5.780743515792329,1,Manhattan,0,1
153,2023,781.0,212635.0,73.0,307.0,213796.0,213723.0,0.994909298484487,12.267332359750375,4.290459441148391,5.726847747587197,1,Manhattan,0,1
153,2024,1185.0,227783.0,34.0,688.0,229690.0,229656.0,0.9918443236841189,12.336148700344824,3.5263605246161616,6.5337888379333435,1,Manhattan,0,1
153,2025,2496.0,233108.0,51.0,1988.0,237643.0,237592.0,0.9811273106838614,12.35925714446925,3.9318256327243257,7.59488438721652,1,Manhattan,0,1
154,2019,1967.0,25699.0,402.0,447.0,28515.0,28113.0,0.9141322519830684,10.154207359620441,5.996452088619021,6.102558594613569,0,Brooklyn,1,1
154,2020,315.0,15391.0,68.0,133.0,15907.0,15839.0,0.9717153860723531,9.641538201979953,4.219507705176107,4.890349128221754,0,Brooklyn,1,1
154,2021,231.0,18429.0,93.0,154.0,18907.0,18814.0,0.9795365153609015,9.821680789832037,4.532599493153256,5.0369526024136295,1,Brooklyn,1,1
154,2022,415.0,19443.0,50.0,286.0,20194.0,20144.0,0.9652005559968229,9.875242387095826,3.912023005428146,5.655991810819852,1,Brooklyn,1,1
154,2023,206.0,22352.0,27.0,396.0,22981.0,22954.0,0.9737736342249717,10.014671081496743,3.295836866004329,5.981414211254481,1,Brooklyn,1,1
154,2024,253.0,25519.0,18.0,626.0,26416.0,26398.0,0.9667020228805212,10.147178551737998,2.8903717578961645,6.439350371100098,1,Brooklyn,1,1
154,2025,361.0,21940.0,21.0,687.0,23009.0,22988.0,0.9544109970419349,9.99606673382922,3.044522437723423,6.532334292222349,1,Brooklyn,1,1
155,2019,57015.0,638375.0,12542.0,4719.0,712651.0,700109.0,0.9118223019558384,13.366681163949945,9.436838291102966,8.459352191726387,0,Brooklyn,1,1
155,2020,8745.0,437928.0,3449.0,3059.0,453181.0,449732.0,0.9737532574955752,12.98980979228448,8.145839612936841,8.025843344150903,0,Brooklyn,1,1
155,2021,6719.0,559907.0,2440.0,3101.0,572167.0,569727.0,0.9827636745318372,13.235525977491374,7.799753318287247,8.03947991910045,1,Brooklyn,1,1
155,2022,12559.0,576197.0,196.0,951.0,589903.0,589707.0,0.9770903177340612,13.2642048950935,5.278114659230517,6.85751406254539,1,Brooklyn,1,1
155,2023,8299.0,620272.0,139.0,1171.0,629881.0,629742.0,0.984962095588352,13.33791337049374,4.9344739331306915,7.065613363597717,1,Brooklyn,1,1
155,2024,10177.0,657816.0,83.0,4175.0,672251.0,672168.0,0.9786481950940836,13.396680535943867,4.418840607796598,8.336869637284956,1,Brooklyn,1,1
155,2025,18005.0,678187.0,186.0,10350.0,706728.0,706542.0,0.9598679200953376,13.427178340103053,5.225746673713202,9.244741798693514,1,Brooklyn,1,1
156,2019,34131.0,210133.0,611.0,169.0,245044.0,244433.0,0.8596752484320856,12.255495942562023,6.415096959171596,5.1298987149230735,0,Staten Island,1,1
156,2020,16932.0,187603.0,495.0,222.0,205252.0,204757.0,0.9162226444028776,12.142083306897614,6.20455776256869,5.402677381872279,0,Staten Island,1,1
156,2021,9718.0,233633.0,368.0,84.0,243803.0,243435.0,0.9597346314211186,12.361506787082236,5.908082938168931,4.430816798843313,1,Staten Island,1,1
156,2022,18844.0,244173.0,4.0,58.0,263079.0,263075.0,0.9281497671766606,12.405632269435404,1.3862943611198906,4.060443010546419,1,Staten Island,1,1
156,2023,34068.0,297499.0,0.0,17.0,331584.0,331584.0,0.8972055346458213,12.603166142617635,0.0,2.833213344056216,1,Staten Island,1,1
156,2024,33904.0,317610.0,1.0,41.0,351556.0,351555.0,0.9034432734565004,12.668579494005535,0.0,3.713572066704308,1,Staten Island,1,1
156,2025,34438.0,347190.0,4.0,127.0,381759.0,381755.0,0.9094576364422208,12.757627459510234,1.3862943611198906,4.844187086458591,1,Staten Island,1,1
157,2019,60632.0,582239.0,4868.0,7138.0,654877.0,650009.0,0.895739905139775,13.274636295339702,8.490438454107418,8.873187904050106,0,Queens,1,1
157,2020,5917.0,375167.0,1380.0,3012.0,385476.0,384096.0,0.9767532075314505,12.835126539154421,7.22983877815125,8.010359588919783,0,Queens,1,1
157,2021,3635.0,463890.0,852.0,2093.0,470470.0,469618.0,0.9878028525312063,13.047402734137586,6.747586526829315,7.646353722445999,1,Queens,1,1
157,2022,4359.0,595222.0,649.0,2866.0,603096.0,602447.0,0.9880072437907401,13.29668972418352,6.47543271670409,7.960672608388117,1,Queens,1,1
157,2023,5410.0,706376.0,955.0,2784.0,715525.0,714570.0,0.9885329638803756,13.467902952609784,6.86171134048073,7.931644021454311,1,Queens,1,1
157,2024,6471.0,761591.0,1829.0,6935.0,776826.0,774997.0,0.982701868523362,13.543164945162578,7.511524648390866,8.844336332748933,1,Queens,1,1
157,2025,7606.0,817490.0,2206.0,18997.0,846299.0,844093.0,0.9684833306282602,13.613993949262827,7.698936199813447,9.852036350945049,1,Queens,1,1
158,2019,145967.0,1604598.0,22.0,840940.0,2591527.0,2591505.0,0.6191761158091533,14.288383815884364,3.091042453358316,13.642275592771481,0,Manhattan,0,1
158,2020,1520.0,639108.0,19.0,182516.0,823163.0,823144.0,0.7764230802872888,13.367828733162908,2.9444389791664403,12.114593119394662,0,Manhattan,0,1
158,2021,3943.0,1057071.0,24.0,192963.0,1254001.0,1253977.0,0.84297479140367,13.871012433835844,3.1780538303479458,12.170253739663782,1,Manhattan,0,1
158,2022,9402.0,1472546.0,7.0,297052.0,1779007.0,1779000.0,0.8277380550871276,14.202503433408733,1.9459101490553132,12.601662486634476,1,Manhattan,0,1
158,2023,11981.0,1482323.0,0.0,327847.0,1822151.0,1822151.0,0.8135017350373268,14.209121009808747,0.0,12.700302315123745,1,Manhattan,0,1
158,2024,7989.0,1441150.0,41.0,401787.0,1850967.0,1850926.0,0.7786102739925853,14.18095196394312,3.713572066704308,12.903677376434379,1,Manhattan,0,1
158,2025,6534.0,1367023.0,3.0,447235.0,1820795.0,1820792.0,0.7507848233076595,14.128145940729139,1.0986122886681098,13.010839462518998,1,Manhattan,0,1
159,2019,102866.0,914688.0,22898.0,7809.0,1048261.0,1025363.0,0.8920626158735979,13.726338302502972,10.038804849483757,8.963032193662675,0,Bronx,1,1
159,2020,16345.0,832286.0,10449.0,8772.0,867852.0,857403.0,0.970705724146055,13.63193141073485,9.254261559034111,9.079320109537779,0,Bronx,1,1
159,2021,12670.0,839457.0,5696.0,5593.0,863416.0,857720.0,0.9787075036142331,13.640510533223035,8.647519453091812,8.629271094821588,1,Bronx,1,1
159,2022,14360.0,864370.0,1782.0,1900.0,882412.0,880630.0,0.9815359458569434,13.669756196858037,7.485491608030754,7.549609165154532,1,Bronx,1,1
159,2023,11264.0,986964.0,1136.0,2202.0,1001566.0,1000430.0,0.9865397878912068,13.802388843586286,7.035268599281097,7.697121317282625,1,Bronx,1,1
159,2024,11359.0,1059437.0,601.0,5411.0,1076808.0,1076207.0,0.9844174958906604,13.873248192912174,6.398594934535208,8.596189197642735,1,Bronx,1,1
159,2025,20109.0,1111661.0,587.0,14866.0,1147223.0,1146636.0,0.9694977307532643,13.921365851199486,6.375024819828097,9.60683200528524,1,Bronx,1,1
160,2019,50661.0,441584.0,3941.0,2306.0,498492.0,494551.0,0.8928988112449474,12.998123541404574,8.279189777195004,7.743269700829004,0,Queens,1,1
160,2020,5330.0,296679.0,1130.0,981.0,304120.0,302990.0,0.9791709297336546,12.600406025209786,7.029972911706386,6.8885724595653635,0,Queens,1,1
160,2021,3360.0,367886.0,955.0,1004.0,373205.0,372250.0,0.9882766957689725,12.815528386549829,6.86171134048073,6.911747300251674,1,Queens,1,1
160,2022,3992.0,431068.0,394.0,661.0,436115.0,435721.0,0.9893211481659135,12.974021129262903,5.976350909297934,6.493753839851686,1,Queens,1,1
160,2023,3757.0,475107.0,146.0,817.0,479827.0,479681.0,0.9904644961964305,13.071295320806737,4.983606621708336,6.705639094860003,1,Queens,1,1
160,2024,5609.0,515100.0,131.0,2335.0,523175.0,523044.0,0.9848119852249524,13.152116335553677,4.875197323201151,7.755767170102998,1,Queens,1,1
160,2025,7134.0,554095.0,241.0,7909.0,569379.0,569138.0,0.9735688005369524,13.225091431172785,5.484796933490655,8.975756630519417,1,Queens,1,1
161,2019,371595.0,2943869.0,354.0,3432538.0,6748356.0,6748002.0,0.4362578730711698,14.895235260558263,5.869296913133774,15.048810487211199,0,Manhattan,0,1
161,2020,21323.0,1158366.0,291.0,938598.0,2118578.0,2118287.0,0.546840914380346,13.962520949354115,5.673323267171493,13.752142551507028,0,Manhattan,0,1
161,2021,14975.0,1573100.0,308.0,1079610.0,2667993.0,2667685.0,0.5896873131572881,14.268558752810597,5.730099782973574,13.892110422772973,1,Manhattan,0,1
161,2022,28746.0,2628166.0,10.0,1552267.0,4209189.0,4209179.0,0.6243892217460935,14.781796822497387,2.302585092994046,14.255227001011265,1,Manhattan,0,1
161,2023,31864.0,2910858.0,3.0,1730482.0,4673207.0,4673204.0,0.6228827160123975,14.883958441050149,1.0986122886681098,14.36391054038541,1,Manhattan,0,1
161,2024,22645.0,2804107.0,144.0,1862219.0,4689115.0,4688971.0,0.5980218261106754,14.846595686180306,4.969813299576001,14.437279345370232,1,Manhattan,0,1
161,2025,25070.0,2819208.0,64.0,1946063.0,4790405.0,4790341.0,0.5885192724275787,14.85196655240442,4.1588830833596715,14.481318915304778,1,Manhattan,0,1
162,2019,267045.0,2321151.0,318.0,3030817.0,5619331.0,5619013.0,0.41308873996198264,14.657573741304967,5.762051382780177,14.924342778103735,0,Manhattan,0,1
162,2020,25973.0,940460.0,286.0,824457.0,1791176.0,1790890.0,0.5251355471301978,13.754124396249926,5.655991810819852,13.622480266801894,0,Manhattan,0,1
162,2021,15257.0,1243100.0,307.0,944878.0,2203542.0,2203235.0,0.5642158008564678,14.033118817779807,5.726847747587197,13.758811097612588,1,Manhattan,0,1
162,2022,23637.0,1783579.0,8.0,1275905.0,3083129.0,3083121.0,0.5784978922332273,14.3941325777258,2.0794415416798357,14.05916628870457,1,Manhattan,0,1
162,2023,23357.0,1926061.0,2.0,1329137.0,3278557.0,3278555.0,0.5874725298187768,14.47098754269744,0.6931471805599453,14.100040417408822,1,Manhattan,0,1
